gene_cluster_id	Pangenome	Environment	Enviro_Specific
GC_00000766	Core	NA	NA
GC_00000767	Core	NA	NA
GC_00000768	Core	NA	NA
GC_00000769	Core	NA	NA
GC_00000770	Core	NA	NA
GC_00000771	Core	NA	NA
GC_00000772	Core	NA	NA
GC_00000774	Core	NA	NA
GC_00000775	Core	NA	NA
GC_00000776	Core	NA	NA
GC_00000777	Core	NA	NA
GC_00000778	Core	NA	NA
GC_00000779	Core	NA	NA
GC_00000780	Core	NA	NA
GC_00000781	Core	NA	NA
GC_00000782	Core	NA	NA
GC_00000783	Core	NA	NA
GC_00000784	Core	NA	NA
GC_00000785	Core	NA	NA
GC_00000786	Core	NA	NA
GC_00000787	Core	NA	NA
GC_00000788	Core	NA	NA
GC_00000789	Core	NA	NA
GC_00000790	Core	NA	NA
GC_00000791	Core	NA	NA
GC_00000792	Core	NA	NA
GC_00000794	Core	NA	NA
GC_00000795	Core	NA	NA
GC_00000796	Core	NA	NA
GC_00000797	Core	NA	NA
GC_00000798	Core	NA	NA
GC_00000799	Core	NA	NA
GC_00000800	Core	NA	NA
GC_00000801	Core	NA	NA
GC_00000802	Core	NA	NA
GC_00000803	Core	NA	NA
GC_00000804	Core	NA	NA
GC_00000805	Core	NA	NA
GC_00000806	Core	NA	NA
GC_00000807	Core	NA	NA
GC_00003090	Singleton	NA	NA
GC_00003132	Singleton	NA	NA
GC_00003153	Singleton	NA	NA
GC_00003161	Singleton	NA	NA
GC_00003223	Singleton	NA	NA
GC_00003270	Singleton	NA	NA
GC_00003314	Singleton	NA	NA
GC_00003408	Singleton	NA	NA
GC_00003441	Singleton	NA	NA
GC_00003716	Singleton	NA	NA
GC_00003757	Singleton	NA	NA
GC_00003793	Singleton	NA	NA
GC_00003867	Singleton	NA	NA
GC_00003949	Singleton	NA	NA
GC_00004049	Singleton	NA	NA
GC_00004057	Singleton	NA	NA
GC_00004058	Singleton	NA	NA
GC_00004059	Singleton	NA	NA
GC_00004060	Singleton	NA	NA
GC_00004061	Singleton	NA	NA
GC_00004062	Singleton	NA	NA
GC_00004063	Singleton	NA	NA
GC_00004064	Singleton	NA	NA
GC_00004065	Singleton	NA	NA
GC_00004066	Singleton	NA	NA
GC_00004067	Singleton	NA	NA
GC_00004068	Singleton	NA	NA
GC_00004069	Singleton	NA	NA
GC_00004070	Singleton	NA	NA
GC_00004071	Singleton	NA	NA
GC_00004072	Singleton	NA	NA
GC_00004073	Singleton	NA	NA
GC_00004074	Singleton	NA	NA
GC_00004075	Singleton	NA	NA
GC_00004076	Singleton	NA	NA
GC_00004077	Singleton	NA	NA
GC_00004078	Singleton	NA	NA
GC_00004079	Singleton	NA	NA
GC_00004080	Singleton	NA	NA
GC_00004081	Singleton	NA	NA
GC_00004082	Singleton	NA	NA
GC_00004083	Singleton	NA	NA
GC_00004084	Singleton	NA	NA
GC_00004085	Singleton	NA	NA
GC_00004086	Singleton	NA	NA
GC_00004087	Singleton	NA	NA
GC_00004088	Singleton	NA	NA
GC_00004089	Singleton	NA	NA
GC_00004090	Singleton	NA	NA
GC_00004091	Singleton	NA	NA
GC_00004092	Singleton	NA	NA
